"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
1.05705882470984e-09,-0.655941635955543,0.187,0.582,2.5952908264276e-05
1.07263349895511e-09,-0.609845314809853,0.07,0.309,2.63352976663458e-05
1.0842311977681e-09,-0.393372361340311,0.01,0.109,2.66200443676024e-05
1.08524624369143e-09,-0.460205131533567,0.044,0.236,2.66449657751121e-05
1.09478420659724e-09,-0.320682741879858,0.01,0.109,2.68791418403755e-05
1.09848707288093e-09,-0.738757272249729,0.276,0.727,2.69700546133725e-05
1.11356818837951e-09,-0.465114109432482,0.044,0.236,2.73403261610937e-05
1.11674901487993e-09,-0.492273452898782,0.132,0.473,2.74184218133321e-05
1.13015325356034e-09,-0.489995518732077,0.076,0.327,2.77475226814135e-05
1.13972793954952e-09,-0.671063530182633,0.064,0.291,2.79826003718198e-05
1.16023747288337e-09,-0.0174812714590137,0.01,0.109,2.84861504342325e-05
1.19287207650339e-09,-0.289536355136216,0.002,0.055,2.92873952223113e-05
1.20031783001442e-09,-0.475181959669611,0.05,0.255,2.9470203362514e-05
1.20728490499452e-09,-0.383763312703044,0.033,0.2,2.96412589874255e-05
1.22783617178065e-09,-0.539362035255598,0.127,0.455,3.01458336895585e-05
1.23603212681679e-09,-0.612111795319348,0.057,0.273,3.03470607776058e-05
1.24830526885835e-09,-0.47251850900934,0.044,0.236,3.06483909610102e-05
1.25238003821188e-09,-0.9388807893776,0.296,0.727,3.07484346981781e-05
1.25897632667305e-09,-0.258920972769413,0.002,0.055,3.09103867724767e-05
1.25897632667305e-09,-0.219593140825212,0.002,0.055,3.09103867724767e-05
1.25897632667305e-09,-0.150902857929991,0.002,0.055,3.09103867724767e-05
1.25897632667305e-09,-0.314715169085503,0.002,0.055,3.09103867724767e-05
1.25897632667305e-09,-0.204983137774042,0.002,0.055,3.09103867724767e-05
1.25897632667305e-09,-0.209109886988045,0.002,0.055,3.09103867724767e-05
1.30975953248189e-09,-0.4300889065003,0.05,0.255,3.21572160414953e-05
1.3878404400387e-09,-0.468358205006369,0.028,0.182,3.40742584838302e-05
1.4278277912598e-09,-0.246574123961174,0.038,0.218,3.50560279310105e-05
1.47384569228399e-09,-0.465412923482558,0.051,0.255,3.61858594369564e-05
1.50466191766062e-09,-0.945283156990004,0.395,0.818,3.69424594024036e-05
1.52635485968285e-09,-0.438309308360092,0.034,0.2,3.74750645149333e-05
1.53745040686933e-09,-0.396748131188541,0.018,0.145,3.77474823894559e-05
1.53748323109271e-09,-0.428210447858902,0.014,0.127,3.77482882897882e-05
1.56714226516619e-09,-0.610758200162885,0.294,0.782,3.84764768943603e-05
1.56875765486933e-09,-0.781553895560175,0.479,0.945,3.85161379423519e-05
1.58971671020651e-09,-0.495979840701472,0.07,0.309,3.90307246689903e-05
1.61501245258667e-09,-0.407290310207564,0.09,0.364,3.96517857359079e-05
1.65424034850211e-09,-0.497546588619965,0.098,0.382,4.06149090364237e-05
1.6624372020932e-09,-0.310431606298637,0.028,0.182,4.08161581857924e-05
1.78810335542429e-09,-0.615300559194505,0.231,0.655,4.39015135823772e-05
1.82545469103118e-09,-0.495731578448617,0.12,0.436,4.48185635741975e-05
1.85178222275813e-09,-0.532171631225433,0.064,0.291,4.54649571331577e-05
